Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Access Type,Source,EID
"Ge, E., Chen, Y., Wu, J., Mace, R.","57211000618; 57210993307; 55745530300; 7005945282","Large-scale cooperation driven by reputation, not fear of divine punishment",2019,"Royal Society Open Science",6,"8", 190991,,,,,10.1098/rsos.190991,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85072231449&partnerID=40&md5=9930e8339eaa8139f8ed233692eabdd0",Article,Final,Open Access,Scopus,2-s2.0-85072231449
"Biazzo, I., Monechi, B., Loreto, V.","26537230300; 36961183500; 7004031964","General scores for accessibility and inequality measures in urban areas",2019,"Royal Society Open Science",6,"8", 190979,,,,,10.1098/rsos.190979,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85072229531&partnerID=40&md5=3a2c1287ede05adf39d3a81dd57280f0",Article,Final,Open Access,Scopus,2-s2.0-85072229531
"Wang, Y., Zhou, Z.","57211006781; 57198735212","Photocatalytic decolorization of three commercial dyes using a new heteropolyoxotantalate catalyst",2019,"Royal Society Open Science",6,"8", 190015,,,,,10.1098/rsos.190015,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85072227355&partnerID=40&md5=af41eda950578a098c0bbcabe2e2e9ed",Article,Final,Open Access,Scopus,2-s2.0-85072227355
"Evans, M.R.","57190664316","Will natural resistance result in populations of ash trees remaining in British woodlands after a century of ash dieback disease?",2019,"Royal Society Open Science",6,"8", 190908,,,,,10.1098/rsos.190908,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85072222829&partnerID=40&md5=c32a71810d99bd4b509b758c5915dd6f",Article,Final,Open Access,Scopus,2-s2.0-85072222829
"Smaldino, P.E., Turner, M.A., Contreras Kallens, P.A.","45861773400; 57205553250; 57202852312","Correction to: Open science and modified funding lotteries can impede the natural selection of bad science (Royal Society Open Science (2019)) 6(190194) DOI: 10.1098/rsos.190194)",2019,"Royal Society Open Science",6,"8", 191249,,,,,10.1098/rsos.191249,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85072222641&partnerID=40&md5=01a2b6f4290c27023c28e94b61cc2574",Erratum,Final,Open Access,Scopus,2-s2.0-85072222641
"Zhou, X., Hu, S., Wang, Y., Ullah, S., Hu, J., Liu, H., Xu, B.","57196194144; 57211001335; 57211006784; 57206406830; 56814003900; 55191089100; 15047344900","The surface adsorption, aggregate structure and antibacterial activity of Gemini quaternary ammonium surfactants with carboxylic counterions",2019,"Royal Society Open Science",6,"8", 190378,,,,,10.1098/rsos.190378,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85072221406&partnerID=40&md5=d783a6fc08aabe2a94dd47bc5e05cc4e",Article,Final,Open Access,Scopus,2-s2.0-85072221406
"Silva, M.A., Borrell, A., Prieto, R., Gauffier, P., Bérubé, M., Palsbøl, P.J., Colaço, A.","17135969500; 7004925435; 22986226300; 37032585200; 7006602613; 57211005790; 10440227900","Stable isotopes reveal winter feeding in different habitats in blue, fin and sei whales migrating through the Azores",2019,"Royal Society Open Science",6,"8", 181800,,,,,10.1098/rsos.181800,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85072220005&partnerID=40&md5=0531ce3b7e250df6672e9c4229f7021d",Article,Final,Open Access,Scopus,2-s2.0-85072220005
"Abdelhameed, A.S., Attwa, M.W., Kadi, A.A.","55567888800; 51763318400; 15922779800","Liquid chromatography–tandem mass spectrometry metabolic profiling of nazartinib reveals the formation of unexpected reactive metabolites",2019,"Royal Society Open Science",6,"8", 190852,,,,,10.1098/rsos.190852,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85072219568&partnerID=40&md5=8688475d3a764ad8c9f441188ce075b0",Article,Final,Open Access,Scopus,2-s2.0-85072219568
"Hopkins, T., Roininen, H., Sääksjärvi, I.E.","55776334800; 7004638380; 6506087532","Extensive sampling reveals the phenology and habitat use of Afrotropical parasitoid wasps (Hymenoptera: Ichneumonidae: Rhyssinae)",2019,"Royal Society Open Science",6,"8", 190913,,,,,10.1098/rsos.190913,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85072219460&partnerID=40&md5=bbeb1dde64b8f7c4667bb15a65e55dd1",Article,Final,Open Access,Scopus,2-s2.0-85072219460
"Du, R., Tang, S., Wu, X., Xu, Y., Chen, R., Liu, T.","34876642300; 57211003109; 55619295032; 57204144766; 57195472928; 57206875304","Theoretical study of the structures of bimetallic Ag–Au and Cu–Au clusters up to 108 atoms",2019,"Royal Society Open Science",6,"8", 190342,,,,,10.1098/rsos.190342,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85072218524&partnerID=40&md5=c677ace49468dcbcce66f227ac30e902",Article,Final,Open Access,Scopus,2-s2.0-85072218524
"Sazali, N.H., Alshishani, A., Saad, B., Chew, K.Y., Chong, M.M., Miskam, M.","57210998067; 57190966334; 7007068361; 57211003282; 57210993447; 36021534900","Salting-out assisted liquid–liquid extraction coupled with high-performance liquid chromatography for the determination of vitamin D3 in milk samples",2019,"Royal Society Open Science",6,"8", 190952,,,,,10.1098/rsos.190952,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85072216849&partnerID=40&md5=24eaf6d1583f267a80410a93b05596ee",Article,Final,Open Access,Scopus,2-s2.0-85072216849
"McClain, C.R., Nunnally, C., Benfield, M.C.","57192094199; 25641764600; 7003482307","Persistent and substantial impacts of the Deepwater Horizon oil spill on deep-sea megafauna",2019,"Royal Society Open Science",6,"8", 191164,,,,,10.1098/rsos.191164,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85072212295&partnerID=40&md5=10bde7bec29bae32466d7ec9358eac5d",Article,Final,Open Access,Scopus,2-s2.0-85072212295
"Macnamara, B.N., Maitra, M.","37097692100; 57210996160","The role of deliberate practice in expert performance: Revisiting Ericsson, Krampe &amp; Tesch-Römer (1993)",2019,"Royal Society Open Science",6,"8", 190327,,,,,10.1098/rsos.190327,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85072212133&partnerID=40&md5=4dcb8e69ed9fe60635efe9df648c12f9",Article,Final,Open Access,Scopus,2-s2.0-85072212133
"Liu, R., Zhang, K., Liu, C., Hu, Y., Zhou, L., Zhang, J.","57210999230; 57210994251; 57210993347; 55515234300; 57207225149; 57211001008","Catalytic synthesis of n-butyl carboxylate with immobilized ionic liquid based on response surface methodology optimization",2019,"Royal Society Open Science",6,"8", 190166,,,,,10.1098/rsos.190166,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85072211897&partnerID=40&md5=740ed53acd08afb01677656e11e29194",Article,Final,Open Access,Scopus,2-s2.0-85072211897
"Jeong, K., Choi, J.","22135036200; 57210992468","Theoretical study on the toxicity of ‘Novichok’ agent candidates",2019,"Royal Society Open Science",6,"8", 190414,,,,,10.1098/rsos.190414,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85072211866&partnerID=40&md5=07337242486c03df83ad7e3df9d03a83",Article,Final,Open Access,Scopus,2-s2.0-85072211866
"Jono, T., Kojima, Y., Mizuno, T.","55826339500; 57210992801; 56447819700","Novel cooperative antipredator tactics of an ant specialized against a snake",2019,"Royal Society Open Science",6,"8", 190283,,,,,10.1098/rsos.190283,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85072210789&partnerID=40&md5=6d6b3c50b8025cd3fc0b7af568cba3d4",Article,Final,Open Access,Scopus,2-s2.0-85072210789
"Sobota, P.M., Seffen, K.A.","57191369888; 6506436565","Bistable polar-orthotropic shallow shells",2019,"Royal Society Open Science",6,"8", 190888,,,,,10.1098/rsos.190888,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85072210112&partnerID=40&md5=308e154e74fe77465581be7ec6c96f12",Article,Final,Open Access,Scopus,2-s2.0-85072210112
"Toudic, B., Guérin, L., Mariette, C., Frantsuzov, I., Rabiller, P., Ecolivet, C., Hollingsworth, M.D.","6701920109; 7004654365; 55140770800; 16052335900; 6603788807; 6701716117; 7102604408","Comment on Couzi et al. (2018): A phenomenological model for structural transitions in incommensurate alkane/urea inclusion compounds",2019,"Royal Society Open Science",6,"8", 182073,,,,1,10.1098/rsos.182073,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85072209820&partnerID=40&md5=194aa9b7ba030fe7cc05bd66143ea663",Note,Final,Open Access,Scopus,2-s2.0-85072209820
"Nebel, C., Sumasgutner, P., Pajot, A., Amar, A.","56670938000; 36125491600; 57210994523; 7102728230","Response time of an avian prey to a simulated hawk attack is slower in darker conditions, but is independent of hawk colour morph",2019,"Royal Society Open Science",6,"8", 190677,,,,,10.1098/rsos.190677,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85072204968&partnerID=40&md5=07d80eda9af50c64c18d22e25cff8e1a",Article,Final,Open Access,Scopus,2-s2.0-85072204968
"Shahzamal, M., Jurdak, R., Mans, B., De Hoog, F.","56135274900; 23097482900; 7003639913; 7004646836","Indirect interactions influence contact network structure and diffusion dynamics",2019,"Royal Society Open Science",6,"8", 190845,,,,,10.1098/rsos.190845,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85072204131&partnerID=40&md5=a06dcc2723ab25233611ddaaa78c49ed",Article,Final,Open Access,Scopus,2-s2.0-85072204131
"Jiang, Y., Cai, T., Zhang, X.","57203927747; 57211006000; 55836966400","A multifactor coupling prediction model for the failure depth of floor rocks in fully mechanized caving mining: A numerical and in situ study",2019,"Royal Society Open Science",6,"8", 190528,,,,,10.1098/rsos.190528,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85072202304&partnerID=40&md5=17bae51ce6ae4a35e9dd83e26f72b855",Article,Final,Open Access,Scopus,2-s2.0-85072202304
"Cook, J., De Wolf, E., Dale, N.","56320681800; 57193268238; 57204281061","Cx26 keratitis ichthyosis deafness syndrome mutations trigger alternative splicing of Cx26 to prevent expression and cause toxicity in vitro",2019,"Royal Society Open Science",6,"8", 191128,,,,,10.1098/rsos.191128,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85072202064&partnerID=40&md5=fe9e251cb6872acb5ce8fb84d74e8244",Article,Final,Open Access,Scopus,2-s2.0-85072202064
"Hobeika, L., Taffou, M., Viaud-Delmon, I.","57199742125; 55548178400; 6603053540","Social coding of the multisensory space around us",2019,"Royal Society Open Science",6,"8", 181878,,,,,10.1098/rsos.181878,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85072200621&partnerID=40&md5=a90e0ceba97f624c23fdebe053644978",Article,Final,Open Access,Scopus,2-s2.0-85072200621
"Haken, H., Portugali, J.","7006790885; 6701441578","A synergetic perspective on urban scaling, urban regulatory focus and their interrelations",2019,"Royal Society Open Science",6,"8", 191087,,,,,10.1098/rsos.191087,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85072198990&partnerID=40&md5=69256d08fdf8b902827ed7c88fd5ba0e",Article,Final,Open Access,Scopus,2-s2.0-85072198990
"Zhang, H.H., Qin, C.K., Chen, Y., Zhang, Z.","56668970300; 57210998342; 54410244600; 8832373700","Inhibition behaviour of mild steel by three new benzaldehyde thiosemicarbazone derivatives in 0.5 M H<inf>2</inf>SO<inf>4</inf>: Experimental and computational study",2019,"Royal Society Open Science",6,"8", 190192,,,,,10.1098/rsos.190192,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85072195106&partnerID=40&md5=d6ad2fa5410fe0d79d22539ca8804a83",Article,Final,Open Access,Scopus,2-s2.0-85072195106
"Chung, N.N., Jacobs, G.S., Sudoyo, H., Malik, S.G., Chew, L.Y., Lansing, J.S., Cox, M.P.","57211005525; 56504646300; 6603548824; 7402973374; 7005122315; 7003383124; 8699959500","Sex-linked genetic diversity originates from persistent sociocultural processes at microgeographic scales",2019,"Royal Society Open Science",6,"8", 190733,,,,,10.1098/rsos.190733,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85072194794&partnerID=40&md5=fc854f4e2658f802c7cea8a77a765d78",Article,Final,Open Access,Scopus,2-s2.0-85072194794
"Eiteljoerge, S.F.V., Adam, M., Elsner, B., Mani, N.","57204433130; 57189514248; 56262938500; 16316879900","Consistency of co-occurring actions influences young children’s word learning",2019,"Royal Society Open Science",6,"8", 190097,,,,,10.1098/rsos.190097,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85072193526&partnerID=40&md5=1a72a50b20de495e475ca2f9622225d1",Article,Final,Open Access,Scopus,2-s2.0-85072193526
"Carpenter, J.K., O’Donnell, C.F.J., Moltchanova, E., Kelly, D.","57102605100; 57189297324; 6508318897; 57211003574","Long seed dispersal distances by an inquisitive flightless rail (Gallirallus australis) are reduced by interaction with humans",2019,"Royal Society Open Science",6,"8", 190397,,,,,10.1098/rsos.190397,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85072193104&partnerID=40&md5=69d680416d13f7dfd6f0619983a92c02",Article,Final,Open Access,Scopus,2-s2.0-85072193104
"Eriksson, M., Nylin, S., Carlsson, M.A.","57210992125; 7004462501; 35981632300","Insect brain plasticity: Effects of olfactory input on neuropil size",2019,"Royal Society Open Science",6,"8", 190875,,,,,10.1098/rsos.190875,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85072190258&partnerID=40&md5=cb1b7a752b50ef08ea373a9d053972c5",Article,Final,Open Access,Scopus,2-s2.0-85072190258
"Mannion, P.D., Upchurch, P., Jin, X., Zheng, W.","25632385300; 6701733955; 16426015400; 54404358800","New information on the Cretaceous sauropod dinosaurs of Zhejiang Province, China: Impact on Laurasian titanosauriform phylogeny and biogeography",2019,"Royal Society Open Science",6,"8", 191057,,,,,10.1098/rsos.191057,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85072186921&partnerID=40&md5=980f4640df952f2924fb7049c55e8603",Article,Final,Open Access,Scopus,2-s2.0-85072186921
"Shen, Y., Li, D., Deng, B., Liu, Q., Liu, H., Wu, T.","57190879350; 57209236302; 19933758500; 57211004371; 57210992709; 56957431900","Robust polyimide nano/ microfibre aerogels welded by solvent-vapour for environmental applications",2019,"Royal Society Open Science",6,"8", 190596,,,,,10.1098/rsos.190596,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85072184604&partnerID=40&md5=d2fc6f14747acf5e86bd9cfcc7eb9205",Article,Final,Open Access,Scopus,2-s2.0-85072184604
"Czégel, D., Zachar, I., Szathmáry, E.","56587884800; 35747641700; 7004300777","Multilevel selection as Bayesian inference, major transitions in individuality as structure learning",2019,"Royal Society Open Science",6,"8", 190202,,,,,10.1098/rsos.190202,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85072183658&partnerID=40&md5=d52311507d053a35c7c61cb58f996b8d",Article,Final,Open Access,Scopus,2-s2.0-85072183658
"Zhang, G., He, J., Wang, L., Mihalache, D.","57210993374; 7404984175; 36071167700; 7005402202","Kink-type solutions of the SIdV equation and their properties",2019,"Royal Society Open Science",6,"8", 191040,,,,,10.1098/rsos.191040,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85072183207&partnerID=40&md5=e5d8f98efb5636a17542ddc146425238",Article,Final,Open Access,Scopus,2-s2.0-85072183207
"Zhang, Y., Lu, H., Pham, D.T., Wang, Y., Qu, M., Lim, J., Su, S.","57210996064; 57199201616; 7203009688; 57190976906; 57211002643; 57210996873; 57210822833","Peg–hole disassembly using active compliance",2019,"Royal Society Open Science",6,"8", 190476,,,,,10.1098/rsos.190476,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85072181516&partnerID=40&md5=6bea60974a6056472fef99acd3a7c54e",Article,Final,Open Access,Scopus,2-s2.0-85072181516
"Yin, D., Chen, S., Li, B., Guo, W.","56835043700; 13106191900; 57193163671; 23007959900","Bed separation backfill to reduce surface cracking due to mining under thick and hard conglomerate: A case study",2019,"Royal Society Open Science",6,"8", 190880,,,,,10.1098/rsos.190880,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85072181443&partnerID=40&md5=821c87c264ca23630f1766cc49155d1e",Article,Final,Open Access,Scopus,2-s2.0-85072181443
"Schneider, L., Gros, C.","57211005553; 7102388579","Five decades of US, UK, German and Dutch music charts show that cultural processes are accelerating",2019,"Royal Society Open Science",6,"8", 190944,,,,,10.1098/rsos.190944,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85072180805&partnerID=40&md5=078b0f7444920017b1b06a339354d091",Article,Final,Open Access,Scopus,2-s2.0-85072180805
"Jin, Y., Huang, S., Wang, Q., Gao, M., Ma, H.","57210162386; 57210995044; 57204324846; 57210994942; 8709880900","Ceramsite production from sediment in Beian River: Characterization and parameter optimization",2019,"Royal Society Open Science",6,"8", 190197,,,,,10.1098/rsos.190197,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85072175321&partnerID=40&md5=d0fdc14c1fa9644fafbd0fef62d8d4db",Article,Final,Open Access,Scopus,2-s2.0-85072175321
"Engler, J.O., Sacher, T., Coppack, T., Bairlein, F.","25645538400; 23095739800; 6602266400; 7003819014","Assortative mating frames establishment in a young island bird population",2019,"Royal Society Open Science",6,"8", 190050,,,,,10.1098/rsos.190050,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85072175250&partnerID=40&md5=e338495433f98dffd85e84a4be9f697b",Article,Final,Open Access,Scopus,2-s2.0-85072175250
"Christensen, K., Williams, P.A., Patterson, R., Palmer, B.A., Couzi, M., Guillaume, F., Harris, K.D.M.","8434989400; 8070161500; 57207571768; 35590375700; 7003787619; 7004307179; 7402244038","Reply to comment on Couzi et al. (2018): A phenomenological model for structural phase transitions in incommensurate alkane/urea inclusion compounds",2019,"Royal Society Open Science",6,"8", 190518,,,,,10.1098/rsos.190518,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85072173833&partnerID=40&md5=d9b133a8f8ba5faa78fb86f4b9131398",Article,Final,Open Access,Scopus,2-s2.0-85072173833
"Gebremichael, G., Tsegaye, D., Bunnefeld, N., Zinner, D., Atickem, A.","56305651500; 35180641800; 14071156100; 7003661766; 35728378600","Fluctuating asymmetry and feather growth bars as biomarkers to assess the habitat quality of shade coffee farming for avian diversity conservation",2019,"Royal Society Open Science",6,"8", 190013,131395142,,,,10.1098/rsos.190013,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85072171649&partnerID=40&md5=178d3b3efbe58892041cfb0e0637d56f",Article,Final,Open Access,Scopus,2-s2.0-85072171649
"Li, D., Wang, F., Zhang, Z., Jiang, W., Zhu, Y., Wang, Z., Zhang, R.-Q.","57199159435; 7501309806; 57016283800; 56438343800; 57201071420; 56136382700; 55277269000","The nature of small molecules adsorbed on defective carbon nanotubes",2019,"Royal Society Open Science",6,"8", 190727,,,,,10.1098/rsos.190727,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85072171635&partnerID=40&md5=a285419c167c887c091011dcb3b727c3",Article,Final,Open Access,Scopus,2-s2.0-85072171635
"Parsons, C.E., LeBeau, R.T., Kringelbach, M.L., Young, K.S.","36544466000; 23479723000; 6701378751; 36814819700","Pawsitively sad: Pet-owners are more sensitive to negative emotion in animal distress vocalizations",2019,"Royal Society Open Science",6,"8", 181555,,,,,10.1098/rsos.181555,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85072169125&partnerID=40&md5=72ec6c4623a8a9b5cade916e73c5b257",Article,Final,Open Access,Scopus,2-s2.0-85072169125
"Paxton, K.L., Sebastián-González, E., Hite, J.M., Crampton, L.H., Kuhn, D., Hart, P.J.","15840782600; 26641473100; 57210997461; 7801513288; 57210999011; 56820969100","Loss of cultural song diversity and the convergence of songs in a declining Hawaiian forest bird community",2019,"Royal Society Open Science",6,"8", 190719,,,,,10.1098/rsos.190719,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85072167634&partnerID=40&md5=0525b0a7f94d62ac2c3959c338ae641e",Article,Final,Open Access,Scopus,2-s2.0-85072167634
"Schroeter, E.R., Blackburn, K., Goshe, M.B., Schweitzer, M.H.","56349822300; 7005463662; 6603025231; 7201620792","Proteomic method to extract, concentrate, digest and enrich peptides from fossils with coloured (humic) substances for mass spectrometry analyses",2019,"Royal Society Open Science",6,"8", 181433,,,,,10.1098/rsos.181433,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85072165618&partnerID=40&md5=af920849fdc8a5ca48318f4d01eb8502",Article,Final,Open Access,Scopus,2-s2.0-85072165618
"Javor, A., Ciumas, C., Ibarrola, D., Ryvlin, P., Rheims, S.","54951836800; 6507649319; 6603615478; 7004135382; 24339474300","Social cognition, behaviour and therapy adherence in frontal lobe epilepsy: A study combining neuroeconomic and neuropsychological methods",2019,"Royal Society Open Science",6,"8", 180850,,,,,10.1098/rsos.180850,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85072165207&partnerID=40&md5=b898f3a19d828abd7888b7b7362ff95a",Article,Final,Open Access,Scopus,2-s2.0-85072165207
"Zou, J., Chen, G., Du, F., Yuan, Y., Huang, X., Dong, J., Xie, K., Cui, X., Tang, Z.","56959729400; 57210996850; 57210996253; 56903363900; 57211003014; 57208666219; 57211000234; 57210995711; 53464415100","A general fluorescent light-up probe for staining and quantifying protein",2019,"Royal Society Open Science",6,"8", 190580,,,,,10.1098/rsos.190580,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85072164434&partnerID=40&md5=fb17cb320b432cb9a2eb42caa11f9b2f",Article,Final,Open Access,Scopus,2-s2.0-85072164434
"Hartnett, R.","57211005253","Variation in life-history traits among Daphnia and its relationship to species-level responses to phosphorus limitation",2019,"Royal Society Open Science",6,"8", 191024,,,,,10.1098/rsos.191024,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85072163219&partnerID=40&md5=32cf5cb85f39efdfe5541a31a27d398d",Article,Final,Open Access,Scopus,2-s2.0-85072163219
"Strong, C.R.C., Simões, T.R., Caldwell, M.W., Doschak, M.R.","57210993767; 55148235500; 36766267000; 6507175095","Cranial ontogeny of Thamnophis radix (Serpentes: Colubroidea) with a re-evaluation of current paradigms of snake skull evolution",2019,"Royal Society Open Science",6,"8", 182228,,,,,10.1098/rsos.182228,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85072161615&partnerID=40&md5=5f7b9d00f6681bde25694f43560752e6",Article,Final,Open Access,Scopus,2-s2.0-85072161615
"Feng, L., Li, W., Bao, J., Zheng, Y., Li, Y., Ma, Y., Yang, K., Qiao, Y., Wu, A.","57200288041; 57197747893; 16232610600; 56122621900; 57192531625; 57200289470; 57197732366; 57201217085; 57201875285","Synthesis and photoluminescence properties of silica-modified SiO<inf>2</inf>@ANA-Si-Tb@SiO<inf>2</inf>, SiO<inf>2</inf>@ANA-Si-Tb-L@SiO<inf>2</inf> core–shell–shell nanostructured composites",2019,"Royal Society Open Science",6,"8", 190182,,,,,10.1098/rsos.190182,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85072161612&partnerID=40&md5=56bb92b91fcf947698800032d99b4939",Article,Final,Open Access,Scopus,2-s2.0-85072161612
"Gao, Y., Fang, X., Tran, D., Ju, K., Qian, B., Li, J.","57210318569; 57197827060; 57194335624; 57210996320; 57190167013; 56439046100","Dielectric elastomer actuators based on stretchable and self-healable hydrogel electrodes",2019,"Royal Society Open Science",6,"8", 182145,,,,,10.1098/rsos.182145,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85072161294&partnerID=40&md5=c0781925c39f6397e0973e851b5b03d9",Article,Final,Open Access,Scopus,2-s2.0-85072161294
"Ciera, L., Beladjal, L., Van Landuyt, L., Menger, D., Holdinga, M., Mertens, J., Van Langenhove, L., De Clerk, K., Gheysens, T.","56083053200; 6602969248; 36700641600; 55541423900; 55796815900; 7102712538; 35612265500; 57210993802; 23979924600","Electrospinning repellents in polyvinyl alcohol-nanofibres for obtaining mosquito-repelling fabrics",2019,"Royal Society Open Science",6,"8", 182139,,,,,10.1098/rsos.182139,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85072161148&partnerID=40&md5=2ebf52f9b3257b2e61a98a3ba6e1fc58",Article,Final,Open Access,Scopus,2-s2.0-85072161148
"Bell, A.M., Trapp, R., Keagy, J.","7402876534; 57052568300; 10046517400","Correction to: Parenting behaviour is highly heritable in male stickleback (Royal Society Open Science (2018)) 5 (171029) DOI: 10.1098/rsos.171029)",2019,"Royal Society Open Science",6,"8", 191372,,,,,10.1098/rsos.191372,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85072159185&partnerID=40&md5=489251e7d5016d2ec0a5052ea30fa6fd",Erratum,Final,Open Access,Scopus,2-s2.0-85072159185
"Torre, I.G., Luque, B., Lacasa, L., Kello, C.T., Hernández-Fernández, A.","57201809098; 35617431500; 13105118800; 6603880910; 52364053900","On the physical origin of linguistic laws and lognormality in speech",2019,"Royal Society Open Science",6,"8", 191023,,,,,10.1098/rsos.191023,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85072158068&partnerID=40&md5=020c31b5dc933bdf320390654850092c",Article,Final,Open Access,Scopus,2-s2.0-85072158068
"Park, D., Lee, M.S.","57205677828; 57210979252","Kinetic study of catalytic CO<inf>2</inf> hydration by metal-substituted biomimetic carbonic anhydrase model complexes",2019,"Royal Society Open Science",6,"8", 190407,,,,,10.1098/rsos.190407,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85072125190&partnerID=40&md5=bcd486ed56a8f54a91a3bfdf949631cd",Article,Final,Open Access,Scopus,2-s2.0-85072125190
"Anwar, W., Javed, M.A., Shahid, A.A., Nawaz, K., Akhter, A., Ur Rehman, M.Z., Hameed, U., Iftikhar, S., Haider, M.S.","50661030700; 57202717350; 35337949600; 55575870300; 57202710163; 57194100281; 56769709900; 57188644906; 14022563600","Chitinase genes from Metarhizium anisopliae for the control of whitefly in cotton",2019,"Royal Society Open Science",6,"8", 190412,,,,,10.1098/rsos.190412,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85072118632&partnerID=40&md5=293f1765b1c24f0ad068a46fea4a2dfa",Article,Final,Open Access,Scopus,2-s2.0-85072118632
"Mukherjee, S., Turnley, J., Mansfield, E., Holm, J., Soares, D., David, L., Singh, G.","57198769019; 57210977813; 35196554100; 57210978006; 57201725745; 24372285500; 57204848357","Exfoliated transition metal dichalcogenide nanosheets for supercapacitor and sodium ion battery applications",2019,"Royal Society Open Science",6,"8", 190437,,,,,10.1098/rsos.190437,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85072110564&partnerID=40&md5=bd36dfe6a4854487f4e8b95e447a63e6",Article,Final,Open Access,Scopus,2-s2.0-85072110564
"Xu, Q., Xu, K., Li, L., Yao, X.","57201307545; 35072203000; 57203305644; 56415506500","Optimization of sand casting performance parameters and missing data prediction",2019,"Royal Society Open Science",6,"8", 181860,,,,1,10.1098/rsos.181860,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85070441707&partnerID=40&md5=c44f22d1fcb11c00d96268a55ba812b7",Article,Final,Open Access,Scopus,2-s2.0-85070441707
"Kikegawa, K., Kuhara, R., Kwon, J., Sakamoto, M., Tsuchiya, R., Nagatani, N., Nonomura, Y.","57193833240; 57210597256; 57208496186; 55701351300; 57210597805; 57210596035; 55987414100","Physical origin of a complicated tactile sensation: 'Shittori feel'",2019,"Royal Society Open Science",6,"7", 190039,,,,,10.1098/rsos.190039,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85071133199&partnerID=40&md5=93ddeeb874f26d01febe3e96af371e24",Article,Final,Open Access,Scopus,2-s2.0-85071133199
"Almahakeri, M., Moore, I.D., Fam, A.","55827715600; 55826790800; 7102771155","Numerical techniques for design calculations of longitudinal bending in buried steel pipes subjected to lateral Earth movements",2019,"Royal Society Open Science",6,"7", 181550,V,,,,10.1098/rsos.181550,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85071131687&partnerID=40&md5=84c8f2c43ed3d69fe8ebf5ae92a1ebb8",Article,Final,Open Access,Scopus,2-s2.0-85071131687
